,#,Title,Fork Score,Release Date,Accolades,Notes,Topic,Guest 1,Guest 2,Guest 3,Guest 4
192,140,Checkers and Rally's with Neil Punsalan,2.65,"February 8, 2018",,,Checkers and Rally's,Neil Punsalan,,,
193,DD49,Eat Your Heart Out with Toni Charline,,"February 13, 2018",,Valentine's Day candy,Eat Your Heart Out,Toni Charline,,,
194,141,Sugarfish with Jason Mantzoukas,5.00,"February 15, 2018",Platinum Plate Club,,Sugarfish,Jason Mantzoukas,,,
195,DD,The Doughlympic Winter Games with Holly Prazoff,,"February 20, 2018",,"Frozen Foods. Also with Evan Susser, Joe Saunders, Max Mayer.",The Doughlympic Winter Games,Holly Prazoff,,,
196,142,Ike's with Spencer Crittenden (LIVE),4.67,"February 22, 2018",Golden Plate Club,live from San Francisco (SF Sketchfest),Ike's,Spencer Crittenden (LIVE),,,
197,DD50,Biggie Feedbag V with Yusong Liu,,"February 27, 2018",📬,Japanese KitKats,Biggie Feedbag V,Yusong Liu,,,
198,143,Domino's vs. Pizza Hut with Claudia O'Doherty,Winner: Domino's,"March 1, 2018",,Munch Madness: The Slice Is Right - Juggernaut Region,Domino's vs. Pizza Hut,Claudia O'Doherty,,,
199,DD,Blaze Pizza vs. Sbarro with Eva Anderson,Winner: Blaze Pizza,"March 6, 2018",,Munch Madness: The Slice Is Right - Food Court Region,Blaze Pizza vs. Sbarro,Eva Anderson,,,
200,144,Little Caesars vs. Papa John's with John Gemberling,Winner: Little Caesars,"March 8, 2018",,Munch Madness: The Slice Is Right - CEO Region,Little Caesars vs. Papa John's,John Gemberling,,,
201,DD,California Pizza Kitchen vs. Costco with Marisa Pinson,Winner: Costco,"March 13, 2018",,Munch Madness: The Slice Is Right - Class Struggle Region,California Pizza Kitchen vs. Costco,Marisa Pinson,,,
202,145,Semifinals Match 1 with Carl Tart,Winner: Blaze,"March 15, 2018",,Munch Madness: The Slice Is Right,Semifinals Match 1,Carl Tart,,,
203,DD,Fat Chance Kitchen Semifinals with Neil Campbell,Winner: California Pizza Kitchen,"March 20, 2018",,Munch Madness: The Slice Is Right - Sides Showdown,Fat Chance Kitchen Semifinals,Neil Campbell,,,
204,146,Semifinals Match 2 with Michael Daniel Cassady,Winner: Costco,"March 22, 2018",,Munch Madness: The Slice Is Right,Semifinals Match 2,Michael Daniel Cassady,,,
205,DD,Fat Chance Kitchen Finals with Tricia McAlpin,Winner: Domino's,"March 27, 2018",,Munch adness: The Slice Is Right - Best Slice,Fat Chance Kitchen Finals,Tricia McAlpin,,,
206,147,Finals with Paul Scheer,Winner: Domino's,"March 29, 2018",,Munch Madness: The Slice Is Right,Finals,Paul Scheer,,,
207,DD,My Dinner with Wiger,,"April 3, 2018",Dinner Is The Movie,Taco Bell's Nacho Fries and My Dinner With Andre,My Dinner,Wiger,,,
208,148,Coco's with Alison Rosen,1.92,"April 5, 2018",,,Coco's,Alison Rosen,,,
209,DD,Farley Recently with Farley Elliott,,"April 10, 2018",,LA food scene,Farley Recently,Farley Elliott,,,
210,149,The Pie Hole with Marcy Jarreau,3.67,"April 12, 2018",,Nick bumps his Taco Bell score to 5 forks.,The Pie Hole,Marcy Jarreau,,,
211,DD,Secret Menu with Justin Lee,,"April 17, 2018",,Jack In The Box Cholula Buttery Jack and Cholula Fries,Secret Menu,Justin Lee,,,
212,150,The Dopeboys 4/20 Smokestacular with Jon Gabrus,4.20,"April 19, 2018",,🌿,The Dopeboys 4/20 Smokestacular,Jon Gabrus,,,
213,DD,Big & Tall with Ross Kimball,,"April 24, 2018",,Burger King Sourdough King & Spicy Chicken Sandwich,Big & Tall,Ross Kimball,,,
214,151,Farmer Boys with Nick Rutherford,3.50,"April 26, 2018",,,Farmer Boys,Nick Rutherford,,,
215,DD,Gluten-Free Summer Movie Preview with Punam Patel,,"May 1, 2018",,,Gluten-Free Summer Movie Preview,Punam Patel,,,
216,152,Olive Garden 2 with Joel Kim Booster,3.45,"May 3, 2018",,,Olive Garden 2,Joel Kim Booster,,,
217,DD,Greek Bats with Julie Brister,,"May 8, 2018",Dinner is the Movie,The Week Of and Arby's Gyros,Greek Bats,Julie Brister,,,
218,153,Ruth's Chris Steak House with Andrew Secunda,4.33,"May 10, 2018",Golden Plate Club,,Ruth's Chris Steak House,Andrew Secunda,,,
219,DD,Tropical Freeze with Jason Schreier,,"May 15, 2018",,Donkey Kong Country: Tropical Freeze,Tropical Freeze,Jason Schreier,,,
220,154,TGI Friday's 2 with The Sklar Brothers,4.03,"May 17, 2018",,,TGI Friday's 2,The Sklar Brothers,,,
221,DD,Ba Da Ba Ba Bah with Jennie Pierson,,"May 22, 2018",,McDonald's Fresh Beef Quarter Pounders and Mt. McRushmore Draft,Ba Da Ba Ba Bah,Jennie Pierson,,,
222,155,Denny's Solo Menu with Matt Mira,4.00,"May 24, 2018",Golden Vest Club,on a scale of 1-5 Han Solo vests,Denny's Solo Menu,Matt Mira,,,
223,DD,Saved by the Max with Paul Scheer,4.50,"May 29, 2018",Golden Plate Club,Pop Chips Galaxy Puffs,Saved by the Max,Paul Scheer,,,
224,156,Taco Bell 4 with Gillian Jacobs,4.00,"May 31, 2018",,removed from the Platinum Plate Club! (and the Golden Plate Club too),Taco Bell 4,Gillian Jacobs,,,
225,DD,U Talkin' DMB To Me?,🔓,"June 5, 2018",📻,Dave Matthews Band,,,,,
226,157,Gus's World Famous Fried Chicken with Ben Gruber,4.33,"June 7, 2018",Golden Plate Club,,Gus's World Famous Fried Chicken,Ben Gruber,,,
227,DD,Solo with Danny Jelinek,,"June 12, 2018",Dinner is the Movie,Solo: A Star Wars Story,Solo,Danny Jelinek,,,
228,158,Quizno's with Haley Joel Osment,3.25,"June 13, 2018",,,Quizno's,Haley Joel Osment,,,
229,DD,Tarot Pizza with Ariana Lenarsky,🔓,"June 19, 2018",,,Tarot Pizza,Ariana Lenarsky,,,
230,159,Firehouse Subs with Mary Sohn,3.42,"June 21, 2018",,,Firehouse Subs,Mary Sohn,,,
231,DD,TakeOver: Chicago with Mike Carlson,,"June 26, 2018",,,TakeOver: Chicago,Mike Carlson,,,
232,160,Norms with Jordan Morris,3.72,"June 28, 2018",,,Norms,Jordan Morris,,,
233,DD,"Cool, Cool Mountain with The Sloppy Boys",🔓,"July 3, 2018",,a variety of frozen treats,"Cool, Cool Mountain",The Sloppy Boys,,,
234,161,IHOb with Bug Mane,3.75,"July 5, 2018",,,IHOb,Bug Mane,,,
235,DD,Biggie Feedbag VI with Yusong Liu,,"July 10, 2018",📬,,Biggie Feedbag VI,Yusong Liu,,,
236,162,Panda Express 2 with Cristela Alonzo,3.67,"July 12, 2018",,,Panda Express 2,Cristela Alonzo,,,
237,DD,The Wonderful World of Soda 2 with Julia Prescott,,"July 17, 2018",,,The Wonderful World of Soda 2,Julia Prescott,,,
238,163,Mel's Drive-In with Jon Gabrus (LIVE),3.17,"July 19, 2018",,,Mel's Drive-In,Jon Gabrus (LIVE),,,
239,DD,Mission Impossible with Ben Rodgers,,"July 24, 2018",Dinner is the Movie,Mission: Impossible franchise,Mission Impossible,Ben Rodgers,,,
240,164,Panera Bread with Bill Oakley,2.83,"July 26, 2018",,,Panera Bread,Bill Oakley,,,
241,DD,"Veni, Vidi, Mitchy with Lindork, Frielbot and Mikeus",,"July 31, 2018",,snacks from Italy,"Veni, Vidi, Mitchy","Lindork, Frielbot and Mikeus",,,
242,165,Souplantation/Sweet Tomatoes with Kelly Nugent and Lindsay Katai,3.25,"August 2, 2018",,,Souplantation/Sweet Tomatoes,Kelly Nugent and Lindsay Katai,,,
243,DD,Sonic The Hedgehog with Jocelyn Richard,,"August 7, 2018",,,Sonic The Hedgehog,Jocelyn Richard,,,
244,166,Pink's Hot Dogs with Alana Johnston 🔪,2.13,"August 9, 2018",,live from Los Angeles. also with Evan Susser.,Pink's Hot Dogs,Alana Johnston 🔪,,,
245,DD,The Evan Susser Summer Ice Cream Invitational Semi Finals,Winner: Baskin-Robbins,"August 14, 2018",,,,,,,
246,167,The Evan Susser Summer Ice Cream Invitational Finals with Evan Susser,Winner: Ben & Jerry's,"August 16, 2018",,,The Evan Susser Summer Ice Cream Invitational Finals,Evan Susser,,,
247,DD,"Lakewood, California with Matt Apodaca",,"August 21, 2018",,Dunkin' Donuts Donut Fries,"Lakewood, California",Matt Apodaca,,,
248,168,P. F. Chang's with Jessica McKenna and Zach Reino,3.31,"August 23, 2018",,,P. F. Chang's,Jessica McKenna and Zach Reino,,,
249,DD,LIVE from Outside Lands with Jon Gabrus & Paul Scheer,,"August 28, 2018",,"live in San Francisco, CA",LIVE from Outside Lands,Jon Gabrus,Paul Scheer,,
250,169,Johnny Rockets with Esther Povitsky,2.67,"August 30, 2018",,,Johnny Rockets,Esther Povitsky,,,
251,DD,Biggie Feedbag VII with Yusong Liu,,"September 4, 2018",📬,,Biggie Feedbag VII,Yusong Liu,,,
252,170,Wahoo's Fish Taco with Eliza Skinner,2.17,"September 6, 2018",,debut of Mitch's Mickey Mouse doll story,Wahoo's Fish Taco,Eliza Skinner,,,
253,DD,Back to School with Ronnie Adrian,,"September 11, 2018",,Kids' School Snacks,Back to School,Ronnie Adrian,,,
254,171,Outback Steakhouse 2 with Leann Bowen,2.67,"September 13, 2018",,,Outback Steakhouse 2,Leann Bowen,,,
255,DD,The Snacklog with Adam Gertler,,"September 18, 2018",,,The Snacklog,Adam Gertler,,,
256,172,Menchie's with Jackie Johnson,4.00,"September 20, 2018",Golden Plate Club,,Menchie's,Jackie Johnson,,,
257,BC1,Zucchini Spice Bread with Lauren McGuire,3.25,"September 21, 2018",The Bread Cast,,Zucchini Spice Bread,Lauren McGuire,,,
258,DD,U Talkin' To Me? RE: DMB (U Talkin' DMB To Me Part 2),,"September 25, 2018",📻,Dave Mathews Band,,,,,
259,173,Benihana with D'Arcy Carden,5.00,"September 27, 2018",Platinum Plate Club,,Benihana,D'Arcy Carden,,,
260,BC2,White Bread with David Phillips,,"September 28, 2018",The Bread Cast,,White Bread,David Phillips,,,
261,DD,Take Me To Church,,"October 2, 2018",,Octdoughberblessed,,,,,
262,174,In-N-Out vs Chick-Fil-A with Scott Aukerman,Winner: In-N-Out,"October 4, 2018",,Octdoughberblessed,In-N-Out vs Chick-Fil-A,Scott Aukerman,,,
263,BC3,Buttermilk Biscuits with Jane Becker,,"October 5, 2018",The Bread Cast,,Buttermilk Biscuits,Jane Becker,,,
264,DD,Kosher Pig-Out with Becky Feldman,,"October 9, 2018",,Octdoughberblessed,Kosher Pig-Out,Becky Feldman,,,
265,175,Canter's Deli with Evan Susser and David Phillips,3.44,"October 11, 2018",,Octdoughberblessed,Canter's Deli,Evan Susser and David Phillips,,,
266,DD,Meditation with Ryan Stanger,,"October 16, 2018",,Octdoughberblessed,Meditation,Ryan Stanger,,,
267,176,Loving Hut with Raj Desai,4.00,"October 18, 2018",Golden Collection Plate Club,Octdoughberblessed,Loving Hut,Raj Desai,,,
268,DD,The Exorcist with Fran Gillespie,,"October 23, 2018",Dinner is the Movie,Octdoughberblessed,The Exorcist,Fran Gillespie,,,
269,177,Cracker Barrel with Betsy Sodaro,4.67,"October 25, 2018",Golden Collection Plate Club,Octdoughberblessed,Cracker Barrel,Betsy Sodaro,,,
270,DD,Sunday Brunch with Lindsay Katai,2.08,"October 30, 2018",,Octdoughberblessed,Sunday Brunch,Lindsay Katai,,,
271,178,Maggiano's Little Italy with Kevin Pollack,3.31,"November 1, 2018",,also with Jaime Fox,Maggiano's Little Italy,Kevin Pollack,,,
272,DD,Biggie Feedbag VIII with Yusong Liu & Emma Erdbrink,,"November 6, 2018",📬,,Biggie Feedbag VIII,Yusong Liu,Emma Erdbrink,,
273,179,Top Round Roast Beef with Ike Barinholtz,4.75,"November 8, 2018",Golden Plate Club,,Top Round Roast Beef,Ike Barinholtz,,,
274,DD,McDowell's with Dave Schilling,,"November 13, 2018",Dinner is the Movie,Coming To America,McDowell's,Dave Schilling,,,
275,180,El Torito with Jack Allison,4.33,"November 15, 2018",Golden Plate Club,,El Torito,Jack Allison,,,
276,DD,Mash-Off 2: The New Batch with Eva Anderson,,"November 20, 2018",,Thanksgiving,Mash-Off 2: The New Batch,Eva Anderson,,,
277,DD,Peanut Butter Bonanza with April Mouton,,"November 27, 2018",,,Peanut Butter Bonanza,April Mouton,,,
278,181,Dairy Queen with Don't Stop or We'll Die,3.94,"November 29, 2018",,Michael Cassady & Paul Rust,Dairy Queen,Don't Stop or We'll Die,,,
279,DD,Irish Whiskey and American McRibs with Erin McGathy,,"December 4, 2018",,Nick is late and the show begins without him.,Irish Whiskey and American McRibs,Erin McGathy,,,
280,182,Rubio's with Mary Holland (LIVE),4.50,"December 6, 2018",Golden Plate Club,"live in San Diego, CA",Rubio's,Mary Holland (LIVE),,,
281,DD,Soup's Up with Joe Hartzler,🔓,"December 11, 2018",,,Soup's Up,Joe Hartzler,,,
282,183,Papa John's with Lamar Woods,1.83,"December 13, 2018",,,Papa John's,Lamar Woods,,,
283,BC4,The Bread Cast Holiday Special with the Doughboys,,"December 18, 2018",The Bread Cast,,The Bread Cast Holiday Special,the Doughboys,,,
284,184,McDonald's with Sarah Silverman,5.00,"December 20, 2018",Platinum Plate Club,one of the most exciting moments in Doughboys history,McDonald's,Sarah Silverman,,,
285,DD,Wiger Alone,🔓,"December 25, 2018",🎄,Doughboys Holiday Special,,,,,
286,DD,The Golden Paw Club #1: Flannigan,,"January 2, 2019",,,,,,,
287,DD,Blue Velvet & Chew Year's Playlist with Jen Zaborowski,,"January 8, 2019",,,Blue Velvet & Chew Year's Playlist,Jen Zaborowski,,,
288,185,Poquito Más with Dan Goor,4.58,"January 10, 2019",Faraway Friends Club,,Poquito Más,Dan Goor,,,
289,DD,Biggie Feedbag IX with Yusong Liu,,"January 15, 2019",📬,,Biggie Feedbag IX,Yusong Liu,,,
290,186,Delta Sky Club with John Hodgman,2.92,"January 17, 2019",,recorded at LAX,Delta Sky Club,John Hodgman,,,
291,DD,Bacon Maple Gremlins with Nicole Byer,,"January 22, 2019",,,Bacon Maple Gremlins,Nicole Byer,,,
292,187,The Hat with Betsy Sodaro and Mano Agapion (LIVE),4.50,"January 24, 2019",Golden Plate Club,recorded live at the Brea Improv,The Hat,Betsy Sodaro and Mano Agapion (LIVE),,,
293,DD,"Little Caesar, Big Game with Ryan Meharry",,"January 29, 2019",,Little Caesar's Pretzel Crust Pizza,"Little Caesar, Big Game",Ryan Meharry,,,
294,188,Cheba Hut with Jon Gabrus (LIVE),4.67,"January 31, 2019",Golden Dank Club,"recorded live in Phoenix, AZ",Cheba Hut,Jon Gabrus (LIVE),,,
295,DD,"Korn Koffee, Fyre Roasted with Emily Fleming",,"February 5, 2019",Dinner is the Movie,Fyre and Fyre Fraud,"Korn Koffee, Fyre Roasted",Emily Fleming,,,
296,189,Super Duper Burgers with Eliza Skinner & Jordan Morris (LIVE),2.75,"February 7, 2019",,recorded live at SF Sketchfest,Super Duper Burgers,Eliza Skinner,Jordan Morris (LIVE),,
297,DD,"Valentine's Day, Actually with Ify Nwadiwe",,"February 12, 2019",Dinner is the Movie,Love Actually,"Valentine's Day, Actually",Ify Nwadiwe,,,
298,190,Smoke's Poutinerie with Alana Johnston (LIVE) 🔪,4.08,"February 14, 2019",Golden Plate Club,"recorded live in Saskatoon, Saskatchewan",Smoke's Poutinerie,Alana Johnston (LIVE) 🔪,,,
299,DD,The Wonderful World of Water with Dave Theune,🔓,"February 19, 2019",💧,,The Wonderful World of Water,Dave Theune,,,
300,191,Little Caesars with John Ross Bowie,4.42,"February 21, 2019",Golden Plate Club,,Little Caesars,John Ross Bowie,,,
301,DD,Biggie Feedbag X with Yusong Liu,,"February 26, 2019",📬,,Biggie Feedbag X,Yusong Liu,,,
302,192,Native Foods with Tawny Newsome & Alex Kliner,2.13,"February 28, 2019",,,Native Foods,Tawny Newsome,Alex Kliner,,
303,DD,Green Burrito/Red Burrito vs. Poquito Mas with Farley Elliott,Winner: Poquito Mas,"March 5, 2019",🔓,Munch Madness: Mouth of the Border: Hollywood vs. Heartland region,Green Burrito/Red Burrito vs. Poquito Mas,Farley Elliott,,,
304,193,Chipotle vs. Qdoba with Toni Charline,Winner: Qdoba,"March 7, 2019",,Munch Madness: Mouth of the Border: Fast Casual region,Chipotle vs. Qdoba,Toni Charline,,,
305,DD,Fat Chance Kitchen: Chipotle vs. Green Burrito,Winner: Chipotle,"March 12, 2019",,Munch Madness: Mouth of the Border: Loser's Bracket round 1 (guest: Ryan Perez),,,,,
306,194,Poquito Más vs. Taco Bell with Mike Hanford,Winner: Taco Bell,"March 14, 2019",,Munch Madness: Mouth of the Border: Semifinal round 1,Poquito Más vs. Taco Bell,Mike Hanford,,,
307,DD,Fat Chance Kitchen: Poquito Más vs. Chipotle,Winner: Poquito Más,"March 19, 2019",,Munch Madness: Mouth of the Border: Loser's Bracket round 2 (guest: Jennie Pierson),,,,,
308,195,Qdoba vs. Del Taco with Matt Apodaca,Winner: Qdoba,"March 21, 2019",,Munch Madness: Mouth of the Border: Semifinal round 2,Qdoba vs. Del Taco,Matt Apodaca,,,
309,DD,Fat Chance Kitchen: Del Taco vs. Poquito Más with Mary Sohn,Winner: Poquito Más,"March 26, 2019",,Munch Madness: Mouth of the Border: Loser's Bracket final,Fat Chance Kitchen: Del Taco vs. Poquito Más,Mary Sohn,,,
310,196,Poquito Más vs. Qdoba vs. Taco Bell with Nicole Byer,Winner: Taco Bell,"March 28, 2019",,Munch Madness: Mouth of the Border: Finale (live episode),Poquito Más vs. Qdoba vs. Taco Bell,Nicole Byer,,,
311,DD,Biggie Feedbag XI with Yusong Liu & Emma Erdbrink,,"April 2, 2019",📬,,Biggie Feedbag XI,Yusong Liu,Emma Erdbrink,,
312,197,Sizzle Pie with Bill Oakley (LIVE),3.50,"April 4, 2019",,"live in Portland, Oregon",Sizzle Pie,Bill Oakley (LIVE),,,
313,DD,R U Talkin' JRPG's to Me? with Zach Reino,,"April 9, 2019",,Naruto Ramune sodas,R U Talkin' JRPG's to Me?,Zach Reino,,,
314,198,Portillo's with Jon Gabrus & Christine Nangle (LIVE),4.63,"April 11, 2019",Golden Plate Club,"recorded live in Chicago, IL",Portillo's,Jon Gabrus,Christine Nangle (LIVE),,
315,DD,The Snacklog & The Catlog with Sydney Steinberg,,"April 16, 2019",,,The Snacklog & The Catlog,Sydney Steinberg,,,
316,199,Lou Malnati's with Jon Gabrus & Christine Nangle (LIVE),4.00,"April 18, 2019",,"live in Chicago, IL",Lou Malnati's,Jon Gabrus,Christine Nangle (LIVE),,
317,DD,Game of P'Zones with Griffin Newman,🔓,"April 23, 2019",,,Game of P'Zones,Griffin Newman,,,
318,200,Chili's Too with Eva Anderson,3.83,"April 25, 2019",,Episode 200!,Chili's Too,Eva Anderson,,,
319,DD,Mitchell-adas with Agata Monica and Anastasia Vigo,,"April 30, 2019",,Burger King's Angry Whopper,Mitchell-adas,Agata Monica and Anastasia Vigo,,,
320,201,AMC Dine-In with Kevin Pollak and Jaime Fox,3.38,"May 2, 2019",,,AMC Dine-In,Kevin Pollak and Jaime Fox,,,
321,DD,Digby with Libby Watson,,"May 7, 2019",,May-ow,Digby,Libby Watson,,,
322,202,Sweetfin Poké with Payman Benz,4.33,"May 9, 2019",Golden Plate Club,,,,,,
323,DD,Bug with Jordan Morris,,"May 14, 2019",Dinner Is The Movie,May-ow: The Aristocats and hybrid mayo flavors,Bug,Jordan Morris,,,
324,203,Waffle House with Carl Tart (LIVE),4.75,"May 16, 2019",Platinum Plate Club,"live in Huntsville, Alabama. Score updated to 5.0 and put in Platinum Plate Club in ep. 205.",Waffle House,Carl Tart (LIVE),,,
325,DD,Cat Stevens with Yusong Liu,,"May 21, 2019",,May-ow: Doughcats: The Musical,Cat Stevens,Yusong Liu,,,
326,204,Hattie B's with Carl Tart (LIVE),4.33,"May 23, 2019",Golden Plate Club,"live in Nashville, Tennessee",Hattie B's,Carl Tart (LIVE),,,
327,DD,"Pepe, Fiona, and Meryl with Joe Saunders & Rachel Millman",,"May 28, 2019",,May-ow: Heathcliff comics,"Pepe, Fiona, and Meryl",Joe Saunders,Rachel Millman,,
328,205,P. F. Chang's 2 with Kulap Vilaysack,3.08,"May 30, 2019",,Mitch's Lettuce Rap,P. F. Chang's 2,Kulap Vilaysack,,,
329,BC5,Pumpernickel Bread with Diona Reasonover,,"May 31, 2019",The Bread Cast,,Pumpernickel Bread,Diona Reasonover,,,
330,DD,or Nothing with Mike Carlson,,"June 4, 2019",,Star Wars: Galaxy Edge and AEW wrestling,or Nothing,Mike Carlson,,,
331,206,Fogo de Chão with Candice King & Kayla Ewell,3.06,"June 6, 2019",,,Fogo de Chão,Candice King,Kayla Ewell,,
332,BC6,Dinner Rolls with the Sloppy Boys,,"June 7, 2019",The Bread Cast,,Dinner Rolls,the Sloppy Boys,,,
333,DD,WWE Cook-off and Biggie Feedbag XII with Yusong Liu & Emma Erdbrink,,"June 11, 2019",,,WWE Cook-off and Biggie Feedbag XII,Yusong Liu,Emma Erdbrink,,
334,207,Ben & Jerry's with The Sloppy Boys,3.71,"June 13, 2019",,"Jeff Dutton, Mike Hanford, Tim Kalpakis",Ben & Jerry's,The Sloppy Boys,,,
335,BC7,Cornbread with Alana Johnston 🔪,,"June 13, 2019",The Bread Cast,"(unlike other Bread Cast eps, not put in the Doughboys Double stream)",Cornbread,Alana Johnston 🔪,,,
336,DD,Wetzel's Pretzels with Sean Clements & Hayes Davenport (LIVE),,"June 18, 2019",,live from Los Angeles at the Pee Cast Blast 2018,Wetzel's Pretzels,Sean Clements,Hayes Davenport (LIVE),,
337,208,Al's Beef with Megan Batoon & Amir Blumenfeld (LIVE),2.10,"June 20, 2019",,live from Chicago at Headgum Live,Al's Beef,Megan Batoon,Amir Blumenfeld (LIVE),,
338,DD,Beyond Chicago with Fran Gillespie,🔓,"June 25, 2019",,Carl's Jr. Beyond Famous Star and a Chicago Draft,Beyond Chicago,Fran Gillespie,,,
339,209,Which Wich? with Josh Gondelman,3.50,"June 27, 2019",,,Which Wich?,Josh Gondelman,,,
340,BC8,Live at BugCon with Farley Elliott and Evan Susser,,"June 27, 2019",The Bread Cast,,Live at BugCon,Farley Elliott and Evan Susser,,,
341,DD,From Sea to Shining McD with Jack Allison,,"July 2, 2019",,McDonald's Worldwide Favorite Menu and Fourth of July films,From Sea to Shining McD,Jack Allison,,,
342,210,Starbucks Reserve with Jessica Chaffin,1.17,"July 4, 2019",,,Starbucks Reserve,Jessica Chaffin,,,
343,DD,Quiznos Quiz Show with Mark Rennie,,"July 9, 2019",Dinner Is The Movie,Quiznos sandwiches and Quiz Show,Quiznos Quiz Show,Mark Rennie,,,
344,211,"Papa Gino's with John Hodgman, Jean Grae, and Jeff Tweedy",2.80,"July 11, 2019",,"live from Solid Sound Festival in North Adams, MA",Papa Gino's,"John Hodgman, Jean Grae, and Jeff Tweedy",,,
345,DD,Friendly's with John Hodgman & Jean Grae,4.13,"July 16, 2019",🔓,"live from Solid Sound Festival in North Adams, MA",Friendly's,John Hodgman,Jean Grae,,
346,212,Le Pain Quotidien with Johnny Pemberton,3.75,"July 18, 2019",,"The ""oven fries"" episode",Le Pain Quotidien,Johnny Pemberton,,,
347,DD,Shaq's Shaqting Career with Amir Blumenfeld,,"July 23, 2019",Shaq Week / Dinner is the Movie,Kazaam,Shaq's Shaqting Career,Amir Blumenfeld,,,
348,213,Shaquille's with Josh Weiner,3.83,"July 25, 2019",Shaq Week,,Shaquille's,Josh Weiner,,,
349,DD,Biggie Feedbag XIII with Yusong Liu & Emma Erdbrink,,"July 30, 2019",📬,Rainbow Dark chips and Doritos Jacked chips,Biggie Feedbag XIII,Yusong Liu,Emma Erdbrink,,
350,214,Subway 2 with R.J. Fried,3.25,"August 1, 2019",,,Subway 2,R.J. Fried,,,
351,DD,"Snack Attack with Mac, aka Max Mayer",,"August 6, 2019",,"Sour Patch Kid ice cream, Taco Bell chips, a ba-na-na",Snack Attack,"Mac, aka Max Mayer",,,
352,215,Del Taco 2 with Kevin Bartelt & Yusong Liu,4.13,"August 8, 2019",,Del Taco's Beyond Meat menu,Del Taco 2,Kevin Bartelt,Yusong Liu,,
353,DD,Dough and Cait Plus Eggs with Cait Raft,,"August 13, 2019",,,Dough and Cait Plus Eggs,Cait Raft,,,
354,216,Lee's Sandwiches with Ify Nwadiwe,4.25,"August 15, 2019",,,Lee's Sandwiches,Ify Nwadiwe,,,
355,DD,Me Talkin' 'Tallica to U? (Me = Wiger),,"August 20, 2019",📻,Metallica: Kill 'Em All and Grill 'Em All,,,,,
356,217,Burger King 3 with Haley Mancini,3.67,"August 22, 2019",,Burger King's Impossible Burger,Burger King 3,Haley Mancini,,,
357,DD,Biggie Feedbag XIV with Yusong Liu & Emma Erdbrink,,"August 27, 2019",📬,,Biggie Feedbag XIV,Yusong Liu,Emma Erdbrink,,
358,218,Popeyes Louisiana Kitchen 2 with Andrew Ti,4.67,"August 29, 2019",Golden Plate Club,,Popeyes Louisiana Kitchen 2,Andrew Ti,,,
359,DD,The Snacklog with Adam Chandler,,"September 3, 2019",,,The Snacklog,Adam Chandler,,,
360,219,Ben's Chili Bowl with Christine Nangle & Carl Tart (LIVE),4.88,"September 5, 2019",Golden Plate Club,"Feast Coast Tour 2019: live from Washington, DC. Also with guest Stormy Daniels.",Ben's Chili Bowl,Christine Nangle,Carl Tart (LIVE),,
361,DD,Feast Coast Tour Diary: Comet Ping Pong,,"September 10, 2019",,"Feast Coast Tour 2019: from Washington, DC AirBnB.",,,,,
362,220,"CAVA with Jamelle Bouie, Carl Tart, and Libby Watson (LIVE)",3.38,"September 12, 2019",,"Feast Coast Tour 2019: live from Washington, DC.",CAVA,"Jamelle Bouie, Carl Tart, and Libby Watson (LIVE)",,,
363,DD,Wawa with Carl Tart & Christine Nangle (LIVE),4.81,"September 17, 2019",Golden Plate Club 🔓,Feast Coast Tour 2019: live from Philadelphia. Also with guest Jon Taffer.,Wawa,Carl Tart,Christine Nangle (LIVE),,
364,221,Marie Callender's with Scott Aukerman,3.83,"September 19, 2019",,,Marie Callender's,Scott Aukerman,,,
365,DD,Xi'an Famous Foods with Mike Hanford & Paul Rust (LIVE),4.58,"September 24, 2019",🔓,Feast Coast Tour 2019: live from New York City. Also with guest The Soup Nazi.,Xi'an Famous Foods,Mike Hanford,Paul Rust (LIVE),,
366,222,Rita's Italian Ice with Carl Tart & Christine Nangle (LIVE),4.19,"September 26, 2019",Golden Plate Club,Feast Coast Tour 2019: live from Philadelphia.,Rita's Italian Ice,Carl Tart,Christine Nangle (LIVE),,
367,DD,World of Coca-Cola,,"October 1, 2019",🔓,Octdoughberfest 2019: The Ate-TL,,,,,
368,223,The Flying Biscuit Cafe with Steve Agee,3.75,"October 3, 2019",Golden Plate Club,Octdoughberfest 2019: The Ate-TL - rating adjusted and removed from the Golden Plate Club in #224.,The Flying Biscuit Cafe,Steve Agee,,,
369,DD,Peaches and Scream with Jen D'Angelo & Samantha Nisenboim,,"October 8, 2019",,Octdoughberfest 2019: The Ate-TL - Peach dishes & Mount Scaremore,Peaches and Scream,Jen D'Angelo,Samantha Nisenboim,,
370,224,Moe's Southwest Grill with Mary Lynn Rajskub,1.58,"October 10, 2019",,Octdoughberfest 2019: The Ate-TL,Moe's Southwest Grill,Mary Lynn Rajskub,,,
371,DD,The Doughboys Went Down To Georgia,,"October 15, 2019",,Octdoughberest 2019: The Ate-TL - hot music from Hot-Lanta,,,,,
372,225,The Varsity with Joe Saunders,4.50,"October 17, 2019",Golden Plate Club,Octdoughberfest 2019: The Ate-TL,The Varsity,Joe Saunders,,,
373,DD,Deliveryance,,"October 22, 2019",Dinner is the Movie,Octdoughberfest 2019: The Ate-TL - Halloween cereals and Deliverance,,,,,
